State,City,Existing_Stores,Estimated_Population,Per_Capita_Income,Malls,buyers_count,State_Encoded,City_Encoded,Norm_Population,Norm_Buyers,Norm_Stores,Priority_Index
Gujarat,Sanand,1,41530,290000,1,20765,7,250,0.002263233,0.002263233,0,0.501810586
Gujarat,Surat,20,4467797,290000,1,2233898.5,7,270,0.265976415,0.265976415,0.296875,0.653406132
Gujarat,Vadodara,14,1670806,290000,1,835403,7,289,0.099334096,0.099334096,0.203125,0.538842277
Gujarat,Vapi,2,163630,290000,1,81815,7,290,0.009537846,0.009537846,0.015625,0.504505277
Haryana,Ambala,2,195153,355000,1,97576.5,8,12,0.011415959,0.011415959,0.015625,0.506007767
Haryana,Faridabad,7,1414050,355000,1,707025,8,88,0.084036794,0.084036794,0.09375,0.548479435
Haryana,Gurugram,15,876969,355000,1,438484.5,8,107,0.05203797,0.05203797,0.21875,0.497880376
Haryana,Kaithal,1,144915,355000,1,72457.5,8,141,0.008422822,0.008422822,0,0.506738258
Haryana,Karnal,1,144915,355000,1,72457.5,8,149,0.008422822,0.008422822,0,0.506738258
Haryana,Kurukshetra,1,155152,355000,1,77576,8,169,0.009032734,0.009032734,0,0.507226187
Haryana,Panchkula,2,211355,355000,1,105677.5,8,216,0.01238126,0.01238126,0.015625,0.506780008
Haryana,Panipat,1,442277,355000,1,221138.5,8,217,0.026139394,0.026139394,0,0.520911516
Haryana,Rewari,1,143021,355000,1,71510.5,8,239,0.008309979,0.008309979,0,0.506647983
Haryana,Rohtak,1,417355,355000,1,208677.5,8,240,0.024654563,0.024654563,0,0.51972365
Haryana,Sirsa,1,182534,355000,1,91267,8,264,0.01066413,0.01066413,0,0.508531304
Haryana,Sonipat,1,289333,355000,1,144666.5,8,268,0.017027122,0.017027122,0,0.513621698
Haryana,Yamuna Nagar,1,383318,355000,1,191659,8,302,0.022626668,0.022626668,0,0.518101334
Himachal Pradesh,Palampur,1,3543,215000,1,1771.5,9,212,0,0,0,0.5
Himachal Pradesh,Solan,1,580320,215000,1,290160,9,266,0.034363878,0.034363878,0,0.527491102
