State,City,Existing_Stores,Estimated_Population,Per_Capita_Income,Malls,buyers_count,State_Encoded,City_Encoded
Tamil Nadu,Madurai,3,1017865,403847,1,508932.5,25,174
Tamil Nadu,Salem,1,1017865,403847,1,508932.5,25,246
Tamil Nadu,Thiruvallur,1,1017865,403847,1,508932.5,25,275
Tamil Nadu,Tiruchirappalli,2,847387,403847,1,423693.5,25,279
Tamil Nadu,Tiruppur,3,444543,403847,1,222271.5,25,281
Tamil Nadu,Vellore,1,185895,403847,1,92947.5,25,293
Telangana,Hyderabad,65,3943323,427730,1,1971661.5,26,122
Telangana,Karimnagar,2,1005711,427730,1,502855.5,26,148
Telangana,Khammam,1,2797370,427730,1,1398685.0,26,150
Telangana,Kodad,1,75093,427730,1,37546.5,26,156
Telangana,Kothagudem,1,79819,427730,1,39909.5,26,163
Telangana,Mahbubnagar,1,4053028,427730,1,2026514.0,26,175
Telangana,Mancherial,1,228450,427730,1,114225.0,26,178
Telangana,Nirmal,1,228450,427730,1,114225.0,26,207
Telangana,Suryapet,1,105250,427730,1,52625.0,26,271
Telangana,Warangal,3,3512576,427730,1,1756288.0,26,298
Uttar Pradesh,Agra,6,4418797,90000,1,2209398.5,27,2
Uttar Pradesh,Aligarh,2,3673889,90000,1,1836944.5,27,10
Uttar Pradesh,Ayodhya,1,2470996,90000,1,1235498.0,27,22
Uttar Pradesh,Bareilly,3,4448359,90000,1,2224179.5,27,31
Uttar Pradesh,Budaun,1,3681896,90000,1,1840948.0,27,58
Uttar Pradesh,Bulandshahr,1,3499171,90000,1,1749585.5,27,59
Uttar Pradesh,Etawah,1,1581810,90000,1,790905.0,27,87
Uttar Pradesh,Ghaziabad,12,4681645,90000,1,2340822.5,27,96
Uttar Pradesh,Gonda,1,3433919,90000,1,1716959.5,27,99
Uttar Pradesh,Gorakhpur,4,4440895,90000,1,2220447.5,27,100
Uttar Pradesh,Greater Noida,6,1648115,90000,1,824057.5,27,101
Uttar Pradesh,Hapur,1,1338211,90000,1,669105.5,27,113
Uttar Pradesh,Hardoi,1,1338211,90000,1,669105.5,27,114
Uttar Pradesh,Jhansi,2,1998603,90000,1,999301.5,27,137
Uttar Pradesh,Kanpur,4,4581268,90000,1,2290634.0,27,146
Uttar Pradesh,Lakhimpur,1,4021243,90000,1,2010621.5,27,170
Uttar Pradesh,Lucknow,13,4589838,90000,1,2294919.0,27,172
Uttar Pradesh,Mathura,2,2547184,90000,1,1273592.0,27,183
Uttar Pradesh,Meerut,1,3443689,90000,1,1721844.5,27,184
Uttar Pradesh,Moradabad,1,3443689,90000,1,1721844.5,27,189
Uttar Pradesh,Noida,8,1648115,90000,1,824057.5,27,208
Uttar Pradesh,Prayagraj,1,5954391,90000,1,2977195.5,27,227
Uttar Pradesh,Saharanpur,1,3466382,90000,1,1733191.0,27,245
Uttar Pradesh,Sambhal,1,2216569,90000,1,1108284.5,27,249
Uttar Pradesh,Unnao,1,3108367,90000,1,1554183.5,27,287
Uttar Pradesh,Varanasi,4,3676841,90000,1,1838420.5,27,291
Uttarakhand,Dehradun,6,1696694,210000,1,848347.0,28,72
Uttarakhand,Haldwani,1,232095,210000,1,116047.5,28,112
Uttarakhand,Haridwar,1,232095,210000,1,116047.5,28,115
Uttarakhand,Rudrapur,2,154554,210000,1,77277.0,28,242
West Bengal,Asansol,1,1243008,150000,1,621504.0,29,19
West Bengal,Balurghat,1,153279,150000,1,76639.5,29,27
West Bengal,Bardhaman,1,7717563,150000,1,3858781.5,29,30
West Bengal,Barrackpore,1,7717563,150000,1,3858781.5,29,35
West Bengal,Cooch Behar,1,77935,150000,1,38967.5,29,69
West Bengal,Habra,1,147221,150000,1,73610.5,29,110
West Bengal,Howrah,3,4850029,150000,1,2425014.5,29,120
West Bengal,Jalpaiguri,1,3869675,150000,1,1934837.5,29,132
West Bengal,Kharagpur,1,207604,150000,1,103802.0,29,152
West Bengal,Kolkata,27,4580544,150000,1,2290272.0,29,159
West Bengal,Krishnanagar,1,153062,150000,1,76531.0,29,167
West Bengal,Malda,1,324237,150000,1,162118.5,29,177
West Bengal,Midnapore,1,324237,150000,1,162118.5,29,186
West Bengal,Serampore,1,181842,150000,1,90921.0,29,256
West Bengal,Siliguri,3,513264,150000,1,256632.0,29,263
West Bengal,Uttarpara,1,158589,150000,1,79294.5,29,288
